序号,招聘主题,雇主类型
1,攀枝花学院2022年高层次人才招聘简章,互联网类
2,行业分析师,
3,编辑,
4,HR助理,
5,射频工程师,
6,结构工程师,
7,商务专员,
8,解决方案工程师,互联网类
9,技术支持工程师,
10,嵌入式软件工程师,电子类
11,硬件研发工程师,
12,Android开发工程师,
13,前端开发工程师,
14,Java开发工程师,
15,C/C++研发工程师,
16,计算机视觉算法工程师,
17,NLP算法工程师,
18,语音算法工程师,
19,工艺工程师,能源化学类
20,工艺研究、工艺工程师,航空航天类
21,研发设计师-硕士（结构设计、机电控制、嵌入式开发方向）,航空航天类
22,电子技术研发工程师,生物医药类
23,信号处理工程师,
24,招博士/副研究员年薪45万+/深圳职业技术学院,教育类
25,会计,电子类
26,软件工程师,物流运输类
27,联合培养博士后/年薪30万+/国内知名大学和深职院联合培养,教育类
28,副研究员/研究员/年薪45万+,教育类
29,机械工程师,制造类
30,产品工艺师,航空航天类
31,硬件工程师,
32,测试工程师,
33,通信工程师（MAC层）,通信类
34,通信工程师（网络层）,通信类
35,FPGA工程师,互联网类
36,软件开发工程师,互联网类
37,客户专员,
38,嵌入式硬件工程师,电子类
39,有线工程师,通信类
40,无线工程师,通信类
41,网安工程师,通信类
42,视频工程师,通信类
43,强弱电工程师,通信类
44,外场技术工程师,通信类
45,生产调试技术工程师,通信类
46,linux驱动开发工程师,电子类
47,管理培训生,金融类
48,OS驱动开发工程师,
49,OS内核开发工程师,
50,JAVA工程师,
51,OS应用开发工程师,
52,OS架构开发工程师,
53,芯片测试工程师,
54,模拟芯片工程师,
55,数字芯片工程师,
56,江苏新日电动车2022届管培类,
57,江苏新日电动车2022届职能支持类储训生,
58,江苏新日电动车2022届市场营销类储训生,
59,江苏新日电动车2022届生产工程类储训生,
60,江苏新日电动车2022届研发技术类储训生,
61,电子元器件测试技术,航空航天类
62,半导体工艺工程师,电子类
63,模拟集成电路设计工程师,电子类
64,先进封装产品工程师,航空航天类
65,微系统封装布线/架构设计,航空航天类
66,电源设计,航空航天类
67,软件设计,航空航天类
68,集成电路设计,
69,硬件设计,
70,证券交易员,管理类
71,研发技术,航空航天类
72,销售和服务专家,通信类
73,政企行业应用专家,通信类
74,网络安全专家,通信类
75,5G和IT技术专家,通信类
76,云计算领军人才,通信类
77,大数据和AI领军人才,通信类
78,航天13所2022年校园招聘,航空航天类
79,产品经理,互联网类
80,人力资源专员,生物医药类
81,5G项目支撑岗,通信类
82,互联网营销策划,通信类
83,开发工程师,电子类
84,网络维护与管理,通信类
85,创新客户经理,通信类
86,创新业务支撑,通信类
87,硬件电路设计/FPGA软件开发/测试试验岗/系统论证总体设计,航空航天类
88,天线及射频微波设计/基带算法设计/导航算法设计/图像算法设计,航空航天类
89,市场开发,航空航天类
90,靶机、靶弹设计,航空航天类
91,机加工艺设计,航空航天类
92,无人机培训中心专业技术人员,航空航天类
93,发动机测试工程师,航空航天类
94,工程师,
95,2022届设备技术类储备生,
96,研发运维工程师(DevOps),电子类
97,机场安检,航空航天类
98,地勤人员,航空航天类
99,机场公安辅警,航空航天类
100,机场安检护卫员,航空航天类
101,产品工程师（Product Engineer）,电子类
102,C++软件工程师（C++ Software Engineer）,电子类
103,EDA软件开发工程师(EDA Software Developer),电子类
104,校园星探,互联网类
105,模具类,
106,工艺工程类,
107,销售类,
108,研发类,
109,系统测试,航空航天类
110,电路设计,航空航天类
111,总体设计,航空航天类
112,研发工程师,航空航天类
113,器件研发工程师,电子类
114,SPICE模型研发工程师,研究所
115,测试分析研发工程师,研究所
116,工艺研发工程师,研究所
117,芯片助理工程师,研究所
118,芯片生产技术员,研究所
119,技术管理岗,研究所
120,研发序列/营销序列/技术序列,电子类
121,金融科技研究员,管理类
122,金融科技工程师,管理类
123,金融科技部寒假实习生,管理类
124,特聘副研究员/研究员/博士后,教育类
125,中国外运华中有限公司OSH“雁翔·青葵2022”项目校园招聘,
126,机械结构设计师,
127,测控开发设计师,航空航天类
128,技术工程师,电子类
129,网络安全管理员,航空航天类
130,营销工程师,
131,电子元器件技术员,航空航天类
132,无人驾驶电气系统设计师,航空航天类
133,光学类,航空航天类
