序号,招聘主题,用人单位,发布日期,浏览次数
1,基金研究员,青岛锦浪私募基金管理有限公司,2022-01-10,0
2,研发工程师/应用工程师,重庆唯申科技有限公司,2022-01-10,0
3,芯片研发工程师（苏州/南京）/芯片后端工程师（苏州/南京）/电子工程师（苏州/南京）/嵌入式开发工程师 （苏州）/软件工程师(驱动，协议，操作系统) （苏州）/测试工程师（苏州）/技术支持/销售工程师（苏州）,苏州盛科通信股份有限公司,2022-01-10,0
4,校园大使,厦门亿联网络技术股份有限公司,2022-01-10,0
5,新能源规划设计岗：太阳能/风能/综合能源等发电相关专业/ 电气工程/城乡规划/ 交通规划/ 环境工程/ 岩土工程/ 水文规划、水工/工程造价专业/建筑、结构工程设计/土建土木工程/ 水利水电工程,中电建重庆勘测设计研究院有限公司,2022-01-10,0
6,超潜管培生（证券研究方向）,锐方（上海）私募基金管理有限公司,2022-01-10,0
7,嵌入式软硬件开发/结构类/储干类,广州通达汽车电气股份有限公司,2022-01-10,0
8,机械工程师/通信工程师/电气工程师/算法工程师/产品经理/职能/财经,牧原食品股份有限公司,2022-01-10,0
9,软件开发工程师-C++/自动化测试开发工程师/研发工程师-ASR/自然语言处理工程师/研发工程师-语音合成,赛轮思软件技术（北京）有限公司,2022-01-10,0
10,研发序列/营销序列/技术序列,烟台东方威思顿电气有限公司,2022-01-10,0
11,四川省南充高级中学 2022年第一批“嘉陵江英才工程”公开引进高层次人才公告,四川省南充高级中学,2022-01-10,0
12,四川省南充高级中学 2022年博士人才引进公告,四川省南充高级中学,2022-01-10,0
13,研发类岗位/市场类岗位/产品类岗位/财务类岗位/人力资源类岗位/运营类岗位,深圳成谷科技有限公司,2022-01-10,0
14,外贸业务员,上海浦劢实业有限公司,2022-01-10,0
15,软件开发工程师（JAVA）,中航材导航技术（北京）有限公司,2022-01-07,0
16,各学科教师,安徽省定远中学,2022-01-07,0
17,设备工程 (助理)工程师/生产运作 项目(助理)工程师/工艺工程 (助理)工程师/质量(助理)工程师/供应链/采购/ 物流助理,威讯联合半导体（北京）有限公司,2022-01-07,0
