序号,招聘主题,用人单位,发布日期,浏览次数
1,攀枝花学院2022年高层次人才招聘简章,北京磐石活水信息科技有限公司,2022-01-09,58
2,行业分析师,爱集微咨询（厦门）有限公司,2022-01-09,30
3,编辑,爱集微咨询（厦门）有限公司,2022-01-09,29
4,HR助理,爱集微咨询（厦门）有限公司,2022-01-09,31
5,射频工程师,广州司南技术有限公司,2022-01-08,31
6,结构工程师,广州司南技术有限公司,2022-01-08,29
7,商务专员,思必驰科技股份有限公司,2022-01-07,278
8,解决方案工程师,思必驰科技股份有限公司,2022-01-07,247
9,技术支持工程师,思必驰科技股份有限公司,2022-01-07,250
10,嵌入式软件工程师,思必驰科技股份有限公司,2022-01-07,251
11,硬件研发工程师,思必驰科技股份有限公司,2022-01-07,251
12,Android开发工程师,思必驰科技股份有限公司,2022-01-07,248
13,前端开发工程师,思必驰科技股份有限公司,2022-01-07,246
14,Java开发工程师,思必驰科技股份有限公司,2022-01-07,244
15,C/C++研发工程师,思必驰科技股份有限公司,2022-01-07,244
16,计算机视觉算法工程师,思必驰科技股份有限公司,2022-01-07,246
17,Java开发工程师,北京航天光华电子技术有限公司,2022-01-07,248
18,NLP算法工程师,思必驰科技股份有限公司,2022-01-07,245
19,语音算法工程师,思必驰科技股份有限公司,2022-01-07,244
20,工艺工程师,北京航天光华电子技术有限公司,2022-01-07,268
21,工艺研究、工艺工程师,北京航天光华电子技术有限公司,2022-01-07,273
22,研发设计师-硕士（结构设计、机电控制、嵌入式开发方向）,北京航天光华电子技术有限公司,2022-01-07,240
23,电子技术研发工程师,陕西航天时代导航设备有限公司,2022-01-07,244
24,信号处理工程师,思必驰科技股份有限公司,2022-01-07,243
25,招博士/副研究员年薪45万+/深圳职业技术学院,深圳职业技术学院,2022-01-07,242
26,会计,陕西航天时代导航设备有限公司,2022-01-07,238
27,软件工程师,陕西航天时代导航设备有限公司,2022-01-07,43
28,联合培养博士后/年薪30万+/国内知名大学和深职院联合培养,深圳职业技术学院,2022-01-07,42
29,副研究员/研究员/年薪45万+,深圳职业技术学院,2022-01-07,42
30,机械工程师,陕西航天时代导航设备有限公司,2022-01-07,41
31,产品工艺师,上海航天电子有限公司,2022-01-07,42
32,射频工程师,上海航天电子有限公司,2022-01-07,38
33,嵌入式软件工程师,上海航天电子有限公司,2022-01-07,43
34,硬件工程师,上海航天电子有限公司,2022-01-07,36
35,测试工程师,上海航天电子有限公司,2022-01-07,46
36,通信工程师（MAC层）,北京环佳通信技术有限公司,2022-01-07,17
37,通信工程师（网络层）,北京环佳通信技术有限公司,2022-01-07,17
38,FPGA工程师,北京环佳通信技术有限公司,2022-01-07,17
39,硬件工程师,北京环佳通信技术有限公司,2022-01-07,19
40,软件开发工程师,北京环佳通信技术有限公司,2022-01-07,15
41,客户专员,爱集微咨询（厦门）有限公司,2022-01-07,16
42,嵌入式硬件工程师,广州通达汽车电气股份有限公司,2022-01-07,16
43,有线工程师,北京环佳通信技术有限公司,2022-01-07,16
44,无线工程师,北京环佳通信技术有限公司,2022-01-07,16
45,网安工程师,北京环佳通信技术有限公司,2022-01-07,16
46,视频工程师,北京环佳通信技术有限公司,2022-01-07,16
47,强弱电工程师,北京环佳通信技术有限公司,2022-01-07,16
48,外场技术工程师,北京环佳通信技术有限公司,2022-01-07,16
49,生产调试技术工程师,北京环佳通信技术有限公司,2022-01-07,16
50,测试工程师,北京环佳通信技术有限公司,2022-01-07,16
51,嵌入式软件工程师,广州通达汽车电气股份有限公司,2022-01-07,16
52,linux驱动开发工程师,广州通达汽车电气股份有限公司,2022-01-07,16
53,管理培训生,广州通达汽车电气股份有限公司,2022-01-07,18
54,OS驱动开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,40
55,OS内核开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,36
56,测试工程师,深圳开鸿数字产业发展有限公司,2022-01-06,40
57,JAVA工程师,深圳开鸿数字产业发展有限公司,2022-01-06,38
58,OS应用开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,38
59,OS架构开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,35
60,芯片测试工程师,青岛联众芯云科技有限公司,2022-01-06,64
61,模拟芯片工程师,青岛联众芯云科技有限公司,2022-01-06,74
62,数字芯片工程师,青岛联众芯云科技有限公司,2022-01-06,67
63,江苏新日电动车2022届管培类,江苏新日电动车股份有限公司,2022-01-06,63
64,江苏新日电动车2022届职能支持类储训生,江苏新日电动车股份有限公司,2022-01-06,62
65,江苏新日电动车2022届市场营销类储训生,江苏新日电动车股份有限公司,2022-01-06,63
66,江苏新日电动车2022届生产工程类储训生,江苏新日电动车股份有限公司,2022-01-06,59
67,江苏新日电动车2022届研发技术类储训生,江苏新日电动车股份有限公司,2022-01-06,58
68,电子元器件测试技术,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,112
69,半导体工艺工程师,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,71
70,模拟集成电路设计工程师,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,65
71,先进封装产品工程师,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,67
72,微系统封装布线/架构设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,64
73,电源设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,68
74,软件设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,65
75,集成电路设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,59
76,硬件设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,60
77,证券交易员,西安天勤汇理私募基金管理有限公司,2022-01-06,48
78,研发技术,桂林航天电子有限公司,2022-01-06,49
79,销售和服务专家,中国电信股份有限公司宁夏分公司,2022-01-05,57
80,政企行业应用专家,中国电信股份有限公司宁夏分公司,2022-01-05,55
81,网络安全专家,中国电信股份有限公司宁夏分公司,2022-01-05,56
82,5G和IT技术专家,中国电信股份有限公司宁夏分公司,2022-01-05,49
83,云计算领军人才,中国电信股份有限公司宁夏分公司,2022-01-05,47
84,大数据和AI领军人才,中国电信股份有限公司宁夏分公司,2022-01-05,44
85,航天13所2022年校园招聘,北京航天控制仪器研究所,2022-01-05,57
