招聘主题,用人单位,发布日期,浏览次数
攀枝花学院2022年高层次人才招聘简章,北京磐石活水信息科技有限公司,2022-01-09,58
行业分析师,爱集微咨询（厦门）有限公司,2022-01-09,30
编辑,爱集微咨询（厦门）有限公司,2022-01-09,29
HR助理,爱集微咨询（厦门）有限公司,2022-01-09,31
射频工程师,广州司南技术有限公司,2022-01-08,31
结构工程师,广州司南技术有限公司,2022-01-08,29
商务专员,思必驰科技股份有限公司,2022-01-07,278
解决方案工程师,思必驰科技股份有限公司,2022-01-07,247
技术支持工程师,思必驰科技股份有限公司,2022-01-07,250
嵌入式软件工程师,思必驰科技股份有限公司,2022-01-07,251
硬件研发工程师,思必驰科技股份有限公司,2022-01-07,251
Android开发工程师,思必驰科技股份有限公司,2022-01-07,248
前端开发工程师,思必驰科技股份有限公司,2022-01-07,246
Java开发工程师,思必驰科技股份有限公司,2022-01-07,244
C/C++研发工程师,思必驰科技股份有限公司,2022-01-07,244
计算机视觉算法工程师,思必驰科技股份有限公司,2022-01-07,246
Java开发工程师,北京航天光华电子技术有限公司,2022-01-07,248
NLP算法工程师,思必驰科技股份有限公司,2022-01-07,245
语音算法工程师,思必驰科技股份有限公司,2022-01-07,244
工艺工程师,北京航天光华电子技术有限公司,2022-01-07,268
工艺研究、工艺工程师,北京航天光华电子技术有限公司,2022-01-07,273
研发设计师-硕士（结构设计、机电控制、嵌入式开发方向）,北京航天光华电子技术有限公司,2022-01-07,240
电子技术研发工程师,陕西航天时代导航设备有限公司,2022-01-07,244
信号处理工程师,思必驰科技股份有限公司,2022-01-07,243
招博士/副研究员年薪45万+/深圳职业技术学院,深圳职业技术学院,2022-01-07,242
会计,陕西航天时代导航设备有限公司,2022-01-07,238
软件工程师,陕西航天时代导航设备有限公司,2022-01-07,43
联合培养博士后/年薪30万+/国内知名大学和深职院联合培养,深圳职业技术学院,2022-01-07,42
副研究员/研究员/年薪45万+,深圳职业技术学院,2022-01-07,42
机械工程师,陕西航天时代导航设备有限公司,2022-01-07,41
产品工艺师,上海航天电子有限公司,2022-01-07,42
射频工程师,上海航天电子有限公司,2022-01-07,38
嵌入式软件工程师,上海航天电子有限公司,2022-01-07,43
硬件工程师,上海航天电子有限公司,2022-01-07,36
测试工程师,上海航天电子有限公司,2022-01-07,46
通信工程师（MAC层）,北京环佳通信技术有限公司,2022-01-07,17
通信工程师（网络层）,北京环佳通信技术有限公司,2022-01-07,17
FPGA工程师,北京环佳通信技术有限公司,2022-01-07,17
硬件工程师,北京环佳通信技术有限公司,2022-01-07,19
软件开发工程师,北京环佳通信技术有限公司,2022-01-07,15
客户专员,爱集微咨询（厦门）有限公司,2022-01-07,16
嵌入式硬件工程师,广州通达汽车电气股份有限公司,2022-01-07,16
有线工程师,北京环佳通信技术有限公司,2022-01-07,16
无线工程师,北京环佳通信技术有限公司,2022-01-07,16
网安工程师,北京环佳通信技术有限公司,2022-01-07,16
视频工程师,北京环佳通信技术有限公司,2022-01-07,16
强弱电工程师,北京环佳通信技术有限公司,2022-01-07,16
外场技术工程师,北京环佳通信技术有限公司,2022-01-07,16
生产调试技术工程师,北京环佳通信技术有限公司,2022-01-07,16
测试工程师,北京环佳通信技术有限公司,2022-01-07,16
嵌入式软件工程师,广州通达汽车电气股份有限公司,2022-01-07,16
linux驱动开发工程师,广州通达汽车电气股份有限公司,2022-01-07,16
管理培训生,广州通达汽车电气股份有限公司,2022-01-07,18
OS驱动开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,40
OS内核开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,36
测试工程师,深圳开鸿数字产业发展有限公司,2022-01-06,40
JAVA工程师,深圳开鸿数字产业发展有限公司,2022-01-06,38
OS应用开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,38
OS架构开发工程师,深圳开鸿数字产业发展有限公司,2022-01-06,35
芯片测试工程师,青岛联众芯云科技有限公司,2022-01-06,64
模拟芯片工程师,青岛联众芯云科技有限公司,2022-01-06,74
数字芯片工程师,青岛联众芯云科技有限公司,2022-01-06,67
江苏新日电动车2022届管培类,江苏新日电动车股份有限公司,2022-01-06,63
江苏新日电动车2022届职能支持类储训生,江苏新日电动车股份有限公司,2022-01-06,62
江苏新日电动车2022届市场营销类储训生,江苏新日电动车股份有限公司,2022-01-06,63
江苏新日电动车2022届生产工程类储训生,江苏新日电动车股份有限公司,2022-01-06,59
江苏新日电动车2022届研发技术类储训生,江苏新日电动车股份有限公司,2022-01-06,58
电子元器件测试技术,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,112
半导体工艺工程师,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,71
模拟集成电路设计工程师,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,65
先进封装产品工程师,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,67
微系统封装布线/架构设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,64
电源设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,68
软件设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,65
集成电路设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,59
硬件设计,中国航天科技集团有限公司第九研究院第七七一研究所,2022-01-06,60
证券交易员,西安天勤汇理私募基金管理有限公司,2022-01-06,48
研发技术,桂林航天电子有限公司,2022-01-06,49
