序号,招聘主题,用人单位,发布日期,浏览次数,职位数量
824,锐捷网络2022届校园招聘简章,北京星网锐捷网络,2021-09-03,767,26
93,2022极米科技春季招聘提前批-招聘简章及岗位详情,成都极米科技股份有限公司,2022-01-02,1718,23
606,太初（无锡）电子科技有限公司2022校园招聘,太初（无锡）电子科技有限公司,2021-10-28,716,20
852,森思泰克河北科技有限公司,森思泰克河北科技有限公司,2021-09-01,629,19
308,前端开发工程师,深圳开鸿数字产业发展有限公司,2021-12-09,824,15
651,中科本原科技（北京）有限公司,中科本原科技（北京）有限公司,2021-10-19,825,15
768,北大医信2022届校园招聘,北大医疗信息技术有限公司,2021-09-14,737,14
786,荣盛盟固利新能源科技股份有限公司,荣盛盟固利新能源科技股份有限公司,2021-09-10,761,14
54,思必驰2022届春季校园招聘,思必驰科技股份有限公司,2022-01-06,137,13
62,北京环佳通信技术有限公司诚聘北邮英才,北京市环佳通信技术公司,2022-01-05,408,13
