招聘主题,招聘公司,浏览次数,职位数量,排名
芯片研发工程师（苏州/南京）/芯片后端工程师（苏州/南京）/电子工程师（苏州/南京）/嵌入式开发工程师 （苏州）/软件工程师(驱动，协议，操作系统) （苏州）/测试工程师（苏州）/技术支持/销售工程师（苏州）,苏州盛科通信股份有限公司,0,1,1
校园大使,厦门亿联网络技术股份有限公司,0,1,2
软件开发工程师-C++/自动化测试开发工程师/研发工程师-ASR/自然语言处理工程师/研发工程师-语音合成,赛轮思软件技术（北京）有限公司,0,1,3
C++研发工程师/计算机图形算法工程师/渲染引擎研发工程师/网格算法工程师/CAE研发工程师（电磁仿真方向）/CAE研发工程师（结构/力学仿真方向）/开发测试工程师/产品规划工程师 /CAD功能测试工程师/CAE应用工程师（高频电磁方向）/CAE应用工程师（低频电磁方向）/CAD应用工程师/文案策划/财务管培生/法务管培生/人力资源管培生/IT管培生 /海外渠道销售管培生 /销售管培生,广州中望龙腾软件股份有限公司,0,1,4
产品测试岗/架构设计岗/大数据分析岗/程序开发岗,启明信息技术股份有限公司,0,1,5
Super X 探路者计划/业务需求分析师/用户体验设计师/软件开发工程师/软件质量工程师/云开发工程师/数据开发工程师,思特沃克软件技术（成都）有限公司,0,1,6
c/c++/嵌入式开发/安卓开发/java开发/硬件开发,福建星网锐捷通讯股份有公司,0,1,7
C++ 开发工程师/算法开发工程师/硬件开发工程师/售前技术支持,苏州恩巨网络有限公司,0,1,8
技术/运营/研发/管理,中国电信股份有限公司安徽分公司,0,1,9
云计算工程师,中国电信股份有限公司安徽分公司,0,1,10
