序号,招聘主题,用人单位,发布日期,浏览次数,职位数量
91,航天三院三〇四所2022年校园招聘,北京京航计算通讯研究所,2022-01-02,2476,1
116,启明信息技术股份有限公司2022年校园招聘简章,启明信息技术股份有限公司,2021-12-29,2388,4
95,浙江大学杭州国际科创中心先进储能技术课题组2022年博士后招聘公告,广州高才信息科技有限公司,2021-12-31,2214,1
118,你和我的距离只有一封简历的厚度,北京广富晖电子科技有限公司,2021-12-29,2048,4
117,清华大学天津高端装备研究院人才引进,中研博硕信息科技（湖北）有限公司,2021-12-29,2027,1
120,中国科学技术大学先进技术研究院2021-2022年度招聘简章,北京神州之窗网络技术服务有限公司,2021-12-29,2018,1
119,中证信息技术服务有限责任公司 2021年度招聘公告,中证信息技术服务有限责任公司,2021-12-29,1975,1
121,阳光电源2022届全球校园招聘秋招补录,阳光电源股份有限公司,2021-12-29,1870,1
96,武汉东湖学院马克思主义学院教师招聘,北京高博中进信息技术有限公司,2021-12-31,1839,1
130,恒上咨询代宽带资本旗下云天使基金投资经理,北京恒上管理咨询有限公司,2021-12-28,1835,1
92,深圳前海麦格美科技有限公司2022管培生招聘,深圳前海麦格美科技有限公司,2022-01-02,1827,1
107,青春韶华 腾飞起航 | 中国华腾2022年度招聘正式启动,中国华腾工业有限公司,2021-12-30,1827,1
97,2021-2022零点有数校园招聘火热开启,北京零点有数数据科技股份有限公司,2021-12-31,1788,1
98,广西师范大学2021年高层次人才招聘公告,北京南方国际人力资源顾问有限公司,2021-12-31,1754,1
103,诚壹资本招聘投资助理,,2021-12-31,1749,1
100,“安装星 星未来” 中建三局安装工程有限公司（中建三局智慧事业部）2022校园招聘,中建三局安装工程有限公司,2021-12-31,1745,1
99,青岛鼎信通讯 2022 届秋季校园招聘,青岛鼎信通讯股份有限公司,2021-12-31,1733,1
93,2022极米科技春季招聘提前批-招聘简章及岗位详情,成都极米科技股份有限公司,2022-01-02,1718,23
128,深圳市大数据研究院科研人员招聘简章,深圳市大数据研究院,2021-12-29,1714,2
101,极米2022届春季校园招聘,成都极米科技股份有限公司,2021-12-31,1710,1
